"","gyeongsang","seoul"
"231","에~ 그거 아니면 솔직히 언제부터 매운 거 좋아했는지는 모르겠어요.","에~ 그거 아니면 솔직히 언제부터 매운 거 좋아했는지는 모르겠어요."
"232","원래 입맛이 약간 네 매운 걸 좋아하는 입맛이었던 거 같아요.","원래 입맛이 약간 네 매운 걸 좋아하는 입맛이었던 거 같아요."
"233","그거 드셔보셨어요?","그거 드셔보셨어요?"
"234","&company-name5& 아니면 실비김치 아시죠 도로시 그거 드셔보셨어요?","&company-name5& 아니면 실비김치 아시죠 도로시 그거 드셔보셨어요?"
"235","아~ 저는 부모님께서 이케 별로 이렇게 그런 걸 안 좋아하세요 이렇게","아~ 저는 부모님께서 이렇게 별로 이렇게 그런 걸 안 좋아하세요 이렇게"
"236","시켜 먹는 거?","시켜 먹는 거?"
"237","이런 걸 안 좋아하셔서 배달 음식도 몰래 시켜 먹거든요.","이런 걸 안 좋아하셔서 배달 음식도 몰래 시켜 먹거든요."
"238","근데 이케 &company-name5&이나 김치 이런 거는","근데 이렇게 &company-name5&이나 김치 이런 거는"
"239","양이 커서 안 들킬 수가 없는 거예요.","양이 커서 안 들킬 수가 없는 거예요."
"240","그래서 애초에 도전해 볼 생각도 안 하고 있습니다.","그래서 애초에 도전해 볼 생각도 안 하고 있습니다."
"241","-그- 그럼 그거 드셔보셨어요 범일동에 매운 떡볶이 있잖아요.","-그- 그럼 그거 드셔보셨어요 범일동에 매운 떡볶이 있잖아요."
"242","아~ 아세요 포장마차 있는 거?","아~ 아세요 포장마차 있는 거?"
"243","그거도 들어 봤는데 제가 {laughing}","그거도 들어 봤는데 제가 {laughing}"
"244","집순이어서 나가는 걸 별로 안 좋아해서 수영 근처 아니면은 아~ 많이 나가도 경성대?","집순이어서 나가는 걸 별로 안 좋아해서 수영 근처 아니면은 아~ 많이 나가도 경성대?"
"245","이쪽이라서 저는 서면 넘어서 이 라인은 한번도 가본 적이 없어요.","이쪽이라서 저는 서면 넘어서 이 라인은 한번도 가본 적이 없어요."
"246","아~ 그렇군요 다음에 범일동 가게 되면 꼭 드셔보세요.","아~ 그렇군요 다음에 범일동 가게 되면 꼭 드셔보세요."
"247","저 예전에 고등학생 때 맵다고 해서 먹었었는데","저 예전에 고등학생 때 맵다고 해서 먹었었는데"
"248","거기 뭐 이 제가 그때 갔을 때는 열 개를 먹으면 평생 공짜였거든요.","거기 뭐 이 제가 그때 갔을 때는 열 개를 먹으면 평생 공짜였거든요."
"249","근데 그만큼 열 개 먹는 사람이 없으니까 그렇게 썼겠죠?","근데 그만큼 열 개 먹는 사람이 없으니까 그렇게 썼겠죠?"
"250","근데 우리는 저는 맵다는 개념이 없던 때라서 뭐 매워 봤자 얼마나 -맵- 맵겠음 이러면서","근데 우리는 저는 맵다는 개념이 없던 때라서 뭐 매워 봤자 얼마나 -맵- 맵겠음 이러면서"
"251","그냥 먹었거든요.","그냥 먹었거든요."
"252","저 떡볶이 한 십 분의 일 먹고 울고 나왔거든요.","저 떡볶이 한 십 분의 일 먹고 울고 나왔거든요."
"253","아무튼 그거 드시면 매운 거 만족하실 거 같아요.","아무튼 그거 드시면 매운 거 만족하실 거 같아요."
"254","그러면 거기 말고 &company-name2&이나 &company-name6&도 약간 맵기로 유명하잖아요.","그러면 거기 말고 &company-name2&이나 &company-name6&도 약간 맵기로 유명하잖아요."
"255","그거는 먹어보셨나요?","그거는 먹어보셨나요?"
"256","네 그 왜 먹는지 모르겠어요.","네 그 왜 먹는지 모르겠어요."
"257","그~ 제가 먹을 때마다 항상 에~ 가장 맵지 않게 달라고 하거든요.","그~ 제가 먹을 때마다 항상 에~ 가장 맵지 않게 달라고 하거든요."
"258","그럼 이제 친구들이 있으면 그~ 뭐 김밥도 치즈 김밥 시키고 뭐~ 튀김 시키고 하잖아요.","그럼 이제 친구들이 있으면 그~ 뭐 김밥도 치즈 김밥 시키고 뭐~ 튀김 시키고 하잖아요."
"259","어~ 전 튀김이 제일 맛있는 거 같아요.","어~ 전 튀김이 제일 맛있는 거 같아요."
"260","김밥도 너무 맵 음~ 도대체 왜 먹는 거냐고","김밥도 너무 맵 음~ 도대체 왜 먹는 거냐고"
"261","근데 아까 불닭볶음면 말했듯이 저는 솔직히 안 매우면 매운 음식을 왜 먹는지 모르는 입장이어가지고","근데 아까 불닭볶음면 말했듯이 저는 솔직히 안 매우면 매운 음식을 왜 먹는지 모르는 입장이어가지고"
"262","저는 항상 제일 맵게 먹거든요.","저는 항상 제일 맵게 먹거든요."
"263","그래가지고 제일 안 맵게 먹는다는 걸 상상을 못하겠어요.","그래가지고 제일 안 맵게 먹는다는 걸 상상을 못하겠어요."
"264","혹시 치킨은 뭐 뭐 드세요?","혹시 치킨은 뭐 뭐 드세요?"
"265","저는 &company-name7&에 레드치킨이라고 있는데","저는 &company-name7&에 레드치킨이라고 있는데"
"266","걔는 약간 소스가 엄청 딱 발려져 있다고 해야 되나?","걔는 약간 소스가 엄청 딱 발려져 있다고 해야 되나?"
"267","딱 그래가지고 매운맛이 잘 느껴지거든요.","딱 그래가지고 매운맛이 잘 느껴지거든요."
"268","그래서 그걸 제일 좋아합니다.","그래서 그걸 제일 좋아합니다."
"269","저는 &company-name6&에 허니콤보 말고는 아 오리지날","저는 &company-name6&에 허니콤보 말고는 아 오리지날"
"270","레드는 한 번도 안 먹어봤어요 맵다고 해서","레드는 한 번도 안 먹어봤어요 맵다고 해서"
"271","저는 저도 그거 -허- 허니가 엄청 유명했을 때가 있잖아요 인터넷에서 그래서","저는 저도 그거 -허- 허니가 엄청 유명했을 때가 있잖아요 인터넷에서 그래서"
"272","시켜볼려고 했는데 아무래도 저 아 저 단 거도 되게 좋아하는데","시켜볼려고 했는데 아무래도 저 아 저 단 거도 되게 좋아하는데"
"273","약간 단 거는 초콜렛 이런 단 거만 좋아하지 음식이 단 거는 별로 안 좋아하거든요.","약간 단 거는 초콜렛 이런 단 거만 좋아하지 음식이 단 거는 별로 안 좋아하거든요."
"274","그래가지고 아~ 일단 시키긴 시키는데 약간 치킨 솔직히 엄청 좀 비싼 편이잖아요 그래서","그래가지고 아~ 일단 시키긴 시키는데 약간 치킨 솔직히 엄청 좀 비싼 편이잖아요 그래서"
"275","아~ 근데 내가 다 먹을 수 있을까 이런 생각이 드는 거예요 저는 아무래도 매운맛에 이케 익숙해져가지고","아~ 근데 내가 다 먹을 수 있을까 이런 생각이 드는 거예요 저는 아무래도 매운맛에 이렇게 익숙해져가지고"
"276","그래서 레드 소스를 추가해서 시켰거든요.","그래서 레드 소스를 추가해서 시켰거든요."
"277","그래서 일단 처음에 허니를 먹어봤는데 정말 제 스타일이 아닌 거예요 그냥","그래서 일단 처음에 허니를 먹어봤는데 정말 제 스타일이 아닌 거예요 그냥"
"278","입에서 안 넘어갈 정도?","입에서 안 넘어갈 정도?"
"279","그래가지고 바로 소스 발라가지고 먹었습니다.","그래가지고 바로 소스 발라가지고 먹었습니다."
"280","세상에나 입에서 안 넘어갈 정도예요?","세상에나 입에서 안 넘어갈 정도예요?"
"281","그러면 &company-name6& 레드 말고는 뭐 드세요?","그러면 &company-name6& 레드 말고는 뭐 드세요?"
"282","치킨을 (()) 말하시는 거면","치킨을 (()) 말하시는 거면"
"283","저는 그~ 땡초치킨이라고","저는 그~ 땡초치킨이라고"
"284","그~ &company-name8&인가 &company-name9&인가 거기서 나오는 게 있거든요.","그~ &company-name8&인가 &company-name9&인가 거기서 나오는 게 있거든요."
"285","그거를 좋아합니다.","그거를 좋아합니다."
"286","위내시경 해 보신 적 있으세요?","위내시경 해 보신 적 있으세요?"
"287","아니요 한 번도 안 해봤는데 음~ 별로 좋을 거 같지도 {laughing} 솔직히 않습니다.","아니요 한 번도 안 해봤는데 음~ 별로 좋을 거 같지도 {laughing} 솔직히 않습니다."
"288","&company-name2&을 진짜 좋아해가지고 보통 못 먹어도 이 주에 한 번쯤은 먹는 것 같거든요.","&company-name2&을 진짜 좋아해가지고 보통 못 먹어도 이 주에 한 번쯤은 먹는 것 같거든요."
"289","그래 가지고 아마 좀","그래 가지고 아마 좀"
"290","가장 좋아하는 여행지가 어디세요?","가장 좋아하는 여행지가 어디세요?"
"291","음~ 저는","음~ 저는"
"292","한국에서는 제주도가 그냥 제일 좋고요.","한국에서는 제주도가 그냥 제일 좋고요."
"293","그리고 해외 갔을 때는 어~ 아시아 여행 했었 여행 했었는데","그리고 해외 갔을 때는 어~ 아시아 여행 했었 여행 했었는데"
"294","라오스도 좋았고 태국도 좋았고","라오스도 좋았고 태국도 좋았고"
"295","어디 여행 다녀 보셨어요?","어디 여행 다녀 보셨어요?"
"296","저는 국내는 똑같이 제주도나","저는 국내는 똑같이 제주도나"
"297","또 부산이나 대구 ((x)) 대구 이런 데 가봤고","또 부산이나 대구 ((x)) 대구 이런 데 가봤고"
"298","해외는 유럽이나","해외는 유럽이나"
"299","중국이나?","중국이나?"
"300","일본?","일본?"
"301","이런 곳 가 봤어요.","이런 곳 가 봤어요."
"302","유럽 어디 갔다 오셨어요?","유럽 어디 갔다 오셨어요?"
"303","저 어릴 때 패키지로 가서","저 어릴 때 패키지로 가서"
"304","서유럽 쪽 돌아서","서유럽 쪽 돌아서"
"305","열 개국 정도 돌고 왔어요.","열 개국 정도 돌고 왔어요."
"306","얼마나 걸렸어요 여행 하는데?","얼마나 걸렸어요 여행 하는데?"
"307","십삼 십이 박 십삼 일 정도?","십삼 십이 박 십삼 일 정도?"
"308","음~ 가족이랑 다 같이 갔다 왔어.","음~ 가족이랑 다 같이 갔다 왔어."
"309","가서 맛있는 것도 많이 먹고 좋은 구경도 많이 해서","가서 맛있는 것도 많이 먹고 좋은 구경도 많이 해서"
"310","기억에 많이 남아요.","기억에 많이 남아요."
"311","기억에 제일 많이 남는 일이 뭐예요?","기억에 제일 많이 남는 일이 뭐예요?"
"312","어~ 스위스 가서 풍경을 봤는데 풍경이 되게 예뻤던 게 기억에 가장 많이 남아요.","어~ 스위스 가서 풍경을 봤는데 풍경이 되게 예뻤던 게 기억에 가장 많이 남아요."
"313","라오스 가 보셨다고 했는데 라오스는 어떠셨어요?","라오스 가 보셨다고 했는데 라오스는 어떠셨어요?"
"314","저~ 라오스에서 루앙프라방이란 곳에 갔는데","저~ 라오스에서 루앙프라방이란 곳에 갔는데"
"315","거기가 되게 마을이 쪼금","거기가 되게 마을이 쪼금"
"316","유럽은 안 가 봤지만?","유럽은 안 가 봤지만?"
"317","되게 유럽풍 나면서 조용해요.","되게 유럽풍 나면서 조용해요."
"318","그래서 저는 거기가 제일 좋더라고요.","그래서 저는 거기가 제일 좋더라고요."
"319","그러고 라오스에 워낙에 한국 사람들이 많이 가다 보니까","그리고 라오스에 워낙에 한국 사람들이 많이 가다 보니까"
"320","한국어도 많이 볼 수 있고","한국어도 많이 볼 수 있고"
"321","그리고 음식도 맛있었고","그리고 음식도 맛있었고"
"322","음~ 혹시 그 아시아 쪽은 가봤어요?","음~ 혹시 그 아시아 쪽은 가봤어요?"
"323","저는 중국이랑 일본 가봤어요.","저는 중국이랑 일본 가봤어요."
"324","중국 어땠어요?","중국 어땠어요?"
"325","저는 중국에 교환 학 어학연수도 갔다 왔는데","저는 중국에 교환 학 어학연수도 갔다 왔는데"
"326","사람들이 중국하면 되게 더러울 거라고만 생각하는데","사람들이 중국하면 되게 더러울 거라고만 생각하는데"
"327","깨끗한 베이징이나 상하이는","깨끗한 베이징이나 상하이는"
"328","한국이랑 비슷한 거 같애요.","한국이랑 비슷한 거 같애요."
"329","서울이나 부산처럼 그냥 도시 같고 그런데","서울이나 부산처럼 그냥 도시 같고 그런데"
"330","그중에 보면 안 깨끗한 사람도 있지만 깨끗한 사람은 그냥","그중에 보면 안 깨끗한 사람도 있지만 깨끗한 사람은 그냥"
"331","평범한 한국 학생이나 직장인처럼 똑같은 거 같애요.","평범한 한국 학생이나 직장인처럼 똑같은 거 같애요."
"332","경제수준이 올라가다 보니까","경제수준이 올라가다 보니까"
"333","다들 -냄- 냄새 안 나고 그냥 평범한 직장인 대학생 같아요.","다들 -냄- 냄새 안 나고 그냥 평범한 직장인 대학생 같아요."
"334","문화 차이로 혹시 느껴지는 거 있어요 한국이랑 다른 점?","문화 차이로 혹시 느껴지는 거 있어요 한국이랑 다른 점?"
"335","저희는 버스를 타고 소매치기 걱정을 그렇게 많이 하진 않잖아요.","저희는 버스를 타고 소매치기 걱정을 그렇게 많이 하진 않잖아요."
"336","근데 가면 중국인 친구가 제일 처음 버스 탈 때 했던 얘기가","근데 가면 중국인 친구가 제일 처음 버스 탈 때 했던 얘기가"
"337","너 가방 꼭 조심하라고 그 얘기를 먼저 해서","너 가방 꼭 조심하라고 그 얘기를 먼저 해서"
"338","처음에 되게 놀랐는데 막상 저는 그런 소매치기나 그런 걸 당한 적은 없어요.","처음에 되게 놀랐는데 막상 저는 그런 소매치기나 그런 걸 당한 적은 없어요."
